Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Don 3 , movie , India , Farhan Akhtar , Hindi , N/A , N/A , Action& Thriller , N/A , N/A , N/A , N/A , Shah Rukh Khan& Farhan Akhtar& Boman Irani& Kunal Kapoor , N/A
Rocketry: The Nambi Effect , movie , India , Madhavan , Hindi& Tamil& Telugu , Based by the life of ISRO Scientist Nambi Narayanan who was falsely accused of being a spy and arrested in 1994. Though free & he is still fighting for justice & with those police officials alleged to have falsely implicated him & still free. , N/A , N/A , N/A , N/A , N/A , N/A , Madhavan& Rajeev Ravindranathan& Simran& Bijou Thaangjam , https://m.media-amazon.com/images/M/MV5BNDNlYTczNWYtZTBjNS00ODIzLWI5OGQtMWFmZGIwZWM4MGM0XkEyXkFqcGdeQXVyNzA5NjY5MzA@._V1_SX300.jpg
Koochie Koochie Hota Hai , movie , India , Tarun Mansukhani , Hindi , The film is an animated take on Kuch Kuch Hota Hai & and it marks the 20 year anniversary of its release. , N/A , Animation& Family& Musical& Romance , N/A , N/A , N/A , N/A , Shah Rukh Khan& Kajol& Rani Mukerji& Sanjay Dutt , https://m.media-amazon.com/images/M/MV5BNzU3ZTc4ZGEtMTczMy00Y2I2LTkyNzktNTg0ZjcxNTRjMGI5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg
Zero , movie , India , Aanand L. Rai , Hindi , The story revolves around Bauua Singh (Shah Rukh Khan) & a vertically challenged man & who is full of charm and wit & with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence & he is challenged to broaden his horizon and find purpose in life. , N/A , Comedy& Drama& Romance , 5.5 , 21 Dec 2018 , Not Rated , 4 wins & 10 nominations. , Shah Rukh Khan& Anushka Sharma& Katrina Kaif& Mohammed Zeeshan Ayyub , https://m.media-amazon.com/images/M/MV5BNzg5YjA4ZTgtZGI3MC00ODVkLTliYmEtOWQ1NTY1ODg0ZjU1XkEyXkFqcGdeQXVyNzI5NjYzODI@._V1_SX300.jpg
Titu Talks , series , India , N/A , Hindi , Bhuvan Bam plays his famous character 'Titu Mama' and interviews celebrities in a desi setting. , N/A , Comedy& Talk-Show , 7.7 , 15 Dec 2018 , N/A , N/A , Bhuvan Bam , https://m.media-amazon.com/images/M/MV5BNWEzMGNjNmMtYjYwYy00NTcwLTk1OWYtZjU5ZGIyMzc4M2FiXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg
Diplo & Pritam: Phurrr , movie , USA , Shomi Patwary , N/A , N/A , N/A , Short& Music , 8.5 , 03 Aug 2017 , N/A , N/A , Diplo& Shah Rukh Khan , https://m.media-amazon.com/images/M/MV5BYTBiZjlhNDEtYWQ5OC00NzZlLWFhMDItY2RmNzc1YTlhYzFlXkEyXkFqcGdeQXVyNjczMjE3MjI@._V1_SX300.jpg
Jab Harry Met Sejal , movie , India , Imtiaz Ali , Hindi , A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl. , N/A , Comedy& Drama& Romance , 5.3 , 04 Aug 2017 , Not Rated , 6 wins & 8 nominations. , Shah Rukh Khan& Anushka Sharma& Bjrn Freiberg& Martavious Gayles , https://m.media-amazon.com/images/M/MV5BMjIzMDI2NDUwOV5BMl5BanBnXkFtZTgwNzE2NjU3MjI@._V1_SX300.jpg
Tubelight , movie , India , Kabir Khan , Hindi , A story of two brothers set during the Sino-Indian war & 1962: the younger one who's at war at the borders and the elder who's at war with his own world. , N/A , Drama& War , 4.0 , 23 Jun 2017 , Not Rated , 1 win & 3 nominations. , Salman Khan& Sohail Khan& Om Puri& Mohammed Zeeshan Ayyub , https://m.media-amazon.com/images/M/MV5BMjExNjc1NDE3M15BMl5BanBnXkFtZTgwNDA2NzM0MjI@._V1_SX300.jpg
Raees , movie , India , Rahul Dholakia , Hindi , A bootlegger sets out to improve his community as a promising leader but falls in a political trap. , N/A , Action& Crime& Drama , 6.8 , 25 Jan 2017 , Not Rated , 3 wins & 15 nominations. , Raj Arjun& Shubham Chintamani& Shubham Tukaram& Yug , https://m.media-amazon.com/images/M/MV5BMTc2NTYwMTE1NV5BMl5BanBnXkFtZTgwODQ5MzAwMTI@._V1_SX300.jpg
Dear Zindagi , movie , India , Gauri Shinde , Hindi , Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug & an unconventional thinker & helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections. , N/A , Drama& Romance , 7.6 , 23 Nov 2016 , Not Rated , 4 nominations. , Alia Bhatt& Shah Rukh Khan& Kunal Kapoor& Priyanka Moodley , https://m.media-amazon.com/images/M/MV5BZWQzYWI3ZGMtYzgyYy00OWZkLWEwODYtNGNiMTZhODBkNzUyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
Ae Dil Hai Mushkil , movie , India , Karan Johar , Hindi , This story explores love - the shapes it takes & the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters & Alizeh and Ayan & as they navigate life & love and heartbreak. , 40 , Drama& Music& Musical& Romance , 5.8 , 28 Oct 2016 , Not Rated , 14 wins & 12 nominations. , Ranbir Kapoor& Aishwarya Rai Bachchan& Anushka Sharma& Fawad Khan , https://m.media-amazon.com/images/M/MV5BZTM1OTI3ZjItOWE3ZS00OTE2LWE2YjAtZTVlM2Q0MGQ5ZThmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
Fan , movie , India , Maneesh Sharma , Hindi , Gaurav develops an obsession with a movie star who looks just like him. He goes to Mumbai to meet his idol & but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero. , N/A , Action& Drama& Thriller , 7.1 , 15 Apr 2016 , Not Rated , 4 wins & 5 nominations. , Shah Rukh Khan& Manoj Anand& Carolina Main& Sayani Gupta , https://m.media-amazon.com/images/M/MV5BYTk1MjNlMTYtYmE5OS00ZjgzLTg1MjktYzY2YjdhMDQzNzA4XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_SX300.jpg
Dilwale , movie , India , Rohit Shetty , Hindi , The siblings of two estranged lovers fall for each other & unaware of the violent past that drove them apart. , N/A , Action& Comedy& Romance , 5.2 , 18 Dec 2015 , Not Rated , 6 wins & 8 nominations. , Shah Rukh Khan& Kajol& Varun Dhawan& Kriti Sanon , https://m.media-amazon.com/images/M/MV5BMjEyNzAyNjExN15BMl5BanBnXkFtZTgwNjM0MDczNzE@._V1_SX300.jpg
Happy New Year , movie , India , Farah Khan , Hindi , A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta. , N/A , Action& Comedy& Music , 5.1 , 24 Oct 2014 , Not Rated , 11 wins & 38 nominations. , Shah Rukh Khan& Deepika Padukone& Anupam Kher& Abhishek Bachchan , https://m.media-amazon.com/images/M/MV5BMjEwZGQwZWMtNTU4Zi00YWVlLTlhZTYtZjc2MzJmMGVmMDQwXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_SX300.jpg
Bhoothnath Returns , movie , India , Nitesh Tiwari , Hindi , A ghost returns back from his world to prove something. But on earth & he has something more to do for his country. , N/A , Comedy& Drama& Fantasy , 6.8 , 11 Apr 2014 , Not Rated , 1 win & 1 nomination. , Amitabh Bachchan& Boman Irani& Parth Bhalerao& Sanjay Mishra , https://m.media-amazon.com/images/M/MV5BMzk1MTMyMjAxMV5BMl5BanBnXkFtZTgwMDA1Mzc0MTE@._V1_SX300.jpg
Chennai Express , movie , India , Rohit Shetty , Hindi& Tamil& English& Marathi , A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train. , 45 , Action& Comedy , 6.0 , 08 Aug 2013 , Not Rated , 32 wins & 54 nominations. , Deepika Padukone& Shah Rukh Khan& Sathyaraj& Nikitin Dheer , https://m.media-amazon.com/images/M/MV5BZGFmMzQwNzEtZTIwNy00Nzc4LTk1YzEtYWFmNWUxZDYwODcwL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
Jab Tak Hai Jaan , movie , India , Yash Chopra , Hindi , A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death. , N/A , Drama& Romance , 6.7 , 13 Nov 2012 , Not Rated , 20 wins & 24 nominations. , Shah Rukh Khan& Katrina Kaif& Anushka Sharma& Anupam Kher , https://m.media-amazon.com/images/M/MV5BMTUyMzM5OTM5NF5BMl5BanBnXkFtZTcwNTIwMjA3OA@@._V1_SX300.jpg
Don 2 , movie , India& Germany , Farhan Akhtar , Hindi& English& German , An international criminal turns himself in and escapes with an old rival from prison & following which he recruits a team to steal currency printing plates from a bank in Berlin. , 49 , Action& Crime& Thriller , 7.1 , 23 Dec 2011 , Not Rated , 8 wins & 7 nominations. , Shah Rukh Khan& Priyanka Chopra& Boman Irani& Lara Dutta , https://m.media-amazon.com/images/M/MV5BMzNiYWYxNWYtZDYzMC00MzA0LTkzY2UtNDAwNDhiYmVjNmEwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg
Ra.One , movie , India& USA , Anubhav Sinha , Hindi& Tamil& Telugu& Chinese& English , When the titular antagonist of an action-adventure video game takes on physical form & it's only the game's less powerful protagonist who can save his creator's family. , 60 , Action& Adventure& Sci-Fi , 4.6 , 26 Oct 2011 , Not Rated , 14 wins & 9 nominations. , Shah Rukh Khan& Arjun Rampal& Kareena Kapoor& Shahana Goswami , https://m.media-amazon.com/images/M/MV5BMzcyMjMxOTg4MF5BMl5BanBnXkFtZTcwNzEwMDE5Ng@@._V1_SX300.jpg
