Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Axis Sally , movie , USA , N/A , N/A , An american woman named Mildred Gillars broadcast Nazi propaganda during World War II. She was dubbed Axis Sally by the american GI's who simultaneously loved and hated her. The story ... , N/A , Drama , N/A , N/A , N/A , N/A , N/A , https://m.media-amazon.com/images/M/MV5BZmU2MWY4NzktNjRhYS00YWY4LWE4YWMtOTQ2MjBmNjQ4MDQzXkEyXkFqcGdeQXVyODMyMzc0Mw@@._V1_SX300.jpg
Hunters , series , USA , N/A , English , A diverse band of Nazi hunters living in 1977 New York City discover hundreds of high-ranking Nazi officials are conspiring to create a Fourth Reich in the U.S. The eclectic team will set out on a bloody quest to bring them to justice. , N/A , Drama , 7.2 , 21 Feb 2020 , TV-MA , N/A , Logan Lerman  Jerrika Hinton  Lena Olin  Saul Rubinek , https://m.media-amazon.com/images/M/MV5BZWEwZTcyNjctMjAzZC00ZGU0LWIxYWQtMDAwMmU1NzQ1ZjQ3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
The Irishman , movie , USA , Martin Scorsese , German  English  Italian  Latin  Spanish , A mob hitman recalls his friend Jimmy Hoffa. , 94 , Biography  Crime  Drama , 8.0 , 27 Nov 2019 , R , Nominated for 10 Oscars. Another 53 wins & 289 nominations. , Robert De Niro  Al Pacino  Joe Pesci  Harvey Keitel , https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg
Once Upon a Time... in Hollywood , movie , USA  UK  China , Quentin Tarantino , English  German  Italian  Spanish , A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles. , 83 , Comedy  Drama , 7.7 , 26 Jul 2019 , R , Nominated for 10 Oscars. Another 108 wins & 298 nominations. , Leonardo DiCaprio  Brad Pitt  Margot Robbie  Emile Hirsch , https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg
Paterno , movie , USA , Barry Levinson , English , The film centers on Joe Paterno  who after becoming the most successful coach in college football history  is embroiled in Penn State's Jerry Sandusky sexual abuse scandal  challenging his ... , N/A , Biography  Crime  Drama  Sport , 6.5 , 07 Apr 2018 , TV-MA , Nominated for 2 Primetime Emmys. Another 5 nominations. , Al Pacino  Kathy Baker  Kenneth Maharaj  Michael Mastro , https://m.media-amazon.com/images/M/MV5BNDVhZDQzMWQtOGE4Yy00MDY5LWFmMDktZjk2Mzk3NjY3MmY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Hangman , movie , USA , Johnny Martin , English , A homicide detective brings his partner out of retirement to help catch a serial killer whose crimes are based on the children's game Hangman. , 31 , Crime  Drama  Mystery  Thriller , 5.2 , 24 Nov 2017 , R , N/A , Al Pacino  Karl Urban  Brittany Snow  Joe Anderson , https://m.media-amazon.com/images/M/MV5BMTUyODA0Njc4Nl5BMl5BanBnXkFtZTgwMTU5MDU5MzI@._V1_SX300.jpg
The Pirates of Somalia , movie , Somalia  Kenya  Sudan  South Africa  USA , Bryan Buckley , English  Somali , In 2008  rookie journalist Jay Bahadur forms a half-baked plan to embed himself with the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men are  how they live  and the forces that drive them. , 54 , Biography  Drama , 6.8 , 08 Dec 2017 , R , N/A , Al Pacino  Melanie Griffith  Evan Peters  Barkhad Abdi , https://m.media-amazon.com/images/M/MV5BMjA2OTIwNjA0NV5BMl5BanBnXkFtZTgwMDYxNTYxNDM@._V1_SX300.jpg
Misconduct , movie , USA , Shintaro Shimosawa , English , When an ambitious young lawyer takes on a big case against a powerful and ruthless executive of a large pharmaceutical company  he soon finds himself involved in a case of blackmail and corruption. , 24 , Crime  Drama  Mystery  Thriller , 5.3 , 05 Feb 2016 , R , 1 win. , Josh Duhamel  Anthony Hopkins  Al Pacino  Alice Eve , https://m.media-amazon.com/images/M/MV5BMTQ5NzcwNTM3OV5BMl5BanBnXkFtZTgwMDM3NTA1NzE@._V1_SX300.jpg
Danny Collins , movie , USA , Dan Fogelman , English , An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon. , 58 , Biography  Comedy  Drama  Music , 7.0 , 10 Apr 2015 , R , Nominated for 1 Golden Globe. Another 1 win & 3 nominations. , Al Pacino  Annette Bening  Jennifer Garner  Bobby Cannavale , https://m.media-amazon.com/images/M/MV5BNDk5NTYxOTk2MV5BMl5BanBnXkFtZTgwMzIxMjE0MzE@._V1_SX300.jpg
Manglehorn , movie , USA , David Gordon Green , English , Left heartbroken by the woman he loved and lost many years ago  Manglehorn  an eccentric small-town locksmith  tries to start his life over again with the help of a new friend. , 56 , Drama , 5.6 , 03 Jun 2015 , PG-13 , 1 nomination. , Al Pacino  Holly Hunter  Harmony Korine  Chris Messina , https://m.media-amazon.com/images/M/MV5BMzMwMzE2MjUzNF5BMl5BanBnXkFtZTgwMzMwNDQ3NTE@._V1_SX300.jpg
The Humbling , movie , USA  Italy , Barry Levinson , English , A stage actor who is slowly losing his mind engages in a relationship with a sexually confused younger woman. , 59 , Comedy  Drama  Romance , 5.6 , 23 Jan 2015 , R , N/A , Al Pacino  Greta Gerwig  Nina Arianda  Charles Grodin , https://m.media-amazon.com/images/M/MV5BMTc1NjI0ODE5MV5BMl5BanBnXkFtZTgwOTMyMzEwMzE@._V1_SX300.jpg
Salom� , movie , USA , Al Pacino , English , The Biblical story of Salom�  a girl who agrees to perform the "dance of the seven veils" in return for John the Baptist's head on a silver platter. , N/A , Drama , 6.5 , 21 Sep 2014 , R , N/A , Kevin Anderson  Jessica Chastain  Ralph Guzzo  Roxanne Hart , https://m.media-amazon.com/images/M/MV5BMTU3MDUyMDQxM15BMl5BanBnXkFtZTgwMTI0NTM1MTE@._V1_SX300.jpg
Phil Spector , movie , USA , David Mamet , English , A drama centered on the relationship between Phil Spector and defense attorney Linda Kenney Baden while the music business legend was on trial for the murder of Lana Clarkson. , N/A , Biography  Drama  Music , 6.2 , 24 Mar 2013 , TV-MA , Nominated for 2 Golden Globes. Another 2 wins & 35 nominations. , Al Pacino  Helen Mirren  Jeffrey Tambor  Chiwetel Ejiofor , https://m.media-amazon.com/images/M/MV5BMjE2NDI4MTc3OF5BMl5BanBnXkFtZTcwMTYyNTgxOQ@@._V1_SX300.jpg
We Are Not Animals , movie , USA  Argentina , Alejandro Agresti , English  Spanish , A Hollywood actor grows tired of making the same corporate movies  so he moves to Argentina to find more experimental and meaningful work. , N/A , Comedy  Drama , 5.2 , 01 Jan 2017 , N/A , N/A , John Cusack  Paul Hipp  Kevin Morris  Alejandro Agresti , https://m.media-amazon.com/images/M/MV5BZjgyYzVlZTEtODRkNC00Mjk5LTk1OGYtNzc3NGU3Y2M5N2FhXkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_SX300.jpg
Stand Up Guys , movie , USA , Fisher Stevens , English  Belarusian , A pair of aging stickup men try to get the old gang back together for one last hurrah before one of the guys takes his last assignment - to kill his comrade. , 41 , Comedy  Crime  Thriller , 6.5 , 01 Feb 2013 , R , N/A , Al Pacino  Christopher Walken  Alan Arkin  Julianna Margulies , https://m.media-amazon.com/images/M/MV5BMTgwNjgyOTExMV5BMl5BanBnXkFtZTcwNTIzODA1OA@@._V1_SX300.jpg
Jack and Jill , movie , USA , Dennis Dugan , English , Family guy Jack Sadelstein prepares for the annual event he dreads: the Thanksgiving visit of his fraternal twin sister  the needy and passive-aggressive Jill  who then refuses to leave. , 23 , Comedy , 3.3 , 11 Nov 2011 , PG , 14 wins & 5 nominations. , Adam Sandler  Al Pacino  Katie Holmes  Elodie Tougne , https://m.media-amazon.com/images/M/MV5BNjczMTU5OTUyMl5BMl5BanBnXkFtZTcwODEzNjc3Ng@@._V1_SX300.jpg
The Son of No One , movie , USA , Dito Montiel , English , A young cop is assigned to a precinct in the working class neighborhood where he grew up  and an old secret threatens to destroy his life and his family. , 36 , Action  Crime  Drama  Thriller , 5.1 , 09 Jul 2011 , R , 1 nomination. , Al Pacino  Channing Tatum  James Ransone  Ray Liotta , https://m.media-amazon.com/images/M/MV5BNDUzNDc3OTI3NV5BMl5BanBnXkFtZTcwMDQ3OTQ2Ng@@._V1_SX300.jpg
You Don't Know Jack , movie , USA , Barry Levinson , English , A look at the life and work of doctor-assisted suicide advocate Jack Kevorkian. , N/A , Biography  Drama , 7.6 , 24 Apr 2010 , Not Rated , Won 1 Golden Globe. Another 10 wins & 36 nominations. , Al Pacino  Brenda Vaccaro  John Goodman  Deirdre O'Connell , https://m.media-amazon.com/images/M/MV5BMTQ3MTYwODQwNV5BMl5BanBnXkFtZTcwMjQzNzI0Mw@@._V1_SX300.jpg
Righteous Kill , movie , USA , Jon Avnet , English  Spanish  Russian , Two veteran New York City detectives work on a case of serial executions of criminals who escaped justice. , 36 , Crime  Mystery  Thriller , 6.0 , 12 Sep 2008 , R , 1 win & 2 nominations. , Robert De Niro  Al Pacino  50 Cent  Carla Gugino , https://m.media-amazon.com/images/M/MV5BMTYwMjg3MjY3OV5BMl5BanBnXkFtZTcwNTc4MDU3MQ@@._V1_SX300.jpg
Ocean's Thirteen , movie , USA , Steven Soderbergh , English  Mandarin  Spanish  French , Danny Ocean rounds up the boys for a third heist  after casino owner Willy Bank double-crosses one of the original eleven  Reuben Tishkoff. , 62 , Action  Crime  Thriller , 6.9 , 08 Jun 2007 , PG-13 , 1 win & 5 nominations. , George Clooney  Brad Pitt  Matt Damon  Michael Mantell , https://m.media-amazon.com/images/M/MV5BMTMyNTc1NzY5MV5BMl5BanBnXkFtZTcwNDM4NTQzMw@@._V1_SX300.jpg
88 Minutes , movie , USA  Germany  Canada , Jon Avnet , English , On the day that a serial killer that he helped put away is supposed to be executed  a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live. , 17 , Crime  Drama  Mystery  Thriller , 5.9 , 18 Apr 2008 , R , 3 nominations. , Al Pacino  Alicia Witt  Leelee Sobieski  Amy Brenneman , https://m.media-amazon.com/images/M/MV5BMTgxOTg1NzgzMV5BMl5BanBnXkFtZTcwNTM3Mjc1MQ@@._V1_SX300.jpg
Two for the Money , movie , USA , D.J. Caruso , English , After suffering a career-ending knee injury  a former college football star aligns himself with one of the most renowned touts in the sports-gambling business. , 50 , Crime  Drama  Sport , 6.3 , 07 Oct 2005 , R , 2 nominations. , Al Pacino  Matthew McConaughey  Rene Russo  Armand Assante , https://m.media-amazon.com/images/M/MV5BODAzOTAzNzkyNl5BMl5BanBnXkFtZTYwMTAzNjM3._V1_SX300.jpg
The Merchant of Venice , movie , USA  Italy  Luxembourg  UK , Michael Radford , Italian  Arabic  English , In 16th century Venice  when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions  the bitterly vengeful creditor demands a gruesome payment instead. , 63 , Drama  Romance , 7.0 , 18 Feb 2005 , R , Nominated for 1 BAFTA Film Award. Another 2 wins & 6 nominations. , Al Pacino  Jeremy Irons  Joseph Fiennes  Lynn Collins , https://m.media-amazon.com/images/M/MV5BMGJiNGUxZGYtM2U2YS00ZjJlLThlNjQtYTVkNWUxZGRmYTk4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Angels in America , series , USA  Italy , N/A , English  Hebrew  Aramaic  Yiddish  French , Playwright Tony Kushner adapted his political epic about the A.I.D.S. crisis during the mid 1980s and centers the story around a group of separate but connected individuals. , N/A , Drama  Fantasy  Romance , 8.2 , 07 Dec 2003 , TV-MA , Won 5 Golden Globes. Another 57 wins & 40 nominations. , Al Pacino  Mary-Louise Parker  Jeffrey Wright  Justin Kirk , https://m.media-amazon.com/images/M/MV5BZjJlM2RhNTgtYTQxMy00ZmJkLWIxNDQtOTQzYjg5Y2Y4YjUwXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Gigli , movie , USA , Martin Brest , English , Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job. , 18 , Comedy  Crime  Romance , 2.5 , 01 Aug 2003 , R , 12 wins & 13 nominations. , Ben Affleck  Terry Camilleri  David Backus  Lenny Venito , https://m.media-amazon.com/images/M/MV5BMTE5MTYxMDg5NV5BMl5BanBnXkFtZTYwNjc5MzQ3._V1_SX300.jpg
