Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Americanah , movie , UK  Nigeria  USA , N/A , English , A pair of young Nigerian immigrants face a life time of struggle while their relationship endures. , N/A , Drama  Romance , N/A , N/A , N/A , N/A , Lupita Nyong'o  David Oyelowo , N/A
Blonde , movie , N/A , Andrew Dominik , N/A , A fictionalized chronicle of the inner life of Marilyn Monroe. , N/A , Biography  Drama , N/A , N/A , N/A , N/A , N/A , N/A
Irresistible , movie , USA , Jon Stewart , N/A , A Democrat strategist helps a retired veteran run for mayor in a small  conservative Midwest town. , N/A , Comedy  Drama , N/A , N/A , N/A , N/A , Rose Byrne  Mackenzie Davis  Steve Carell  Natasha Lyonne , N/A
Kajillionaire , movie , USA , Miranda July , English , A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning. , N/A , Crime  Drama , N/A , 25 Jan 2020 , R , N/A , Evan Rachel Wood  Gina Rodriguez  Debra Winger  Da'Vine Joy Randolph , https://m.media-amazon.com/images/M/MV5BN2I0OTJiZWItNGI0Yy00ZjdkLWFjY2EtMDk2N2M2ZGQ4NDhmXkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_SX300.jpg
The King , movie , UK  Hungary  Australia , David Michid , English  French , Hal  wayward prince and heir to the English throne  is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics  the war his father left behind  and the emotional strings of his past life. , 62 , Biography  Drama  History  Romance  War , 7.3 , 01 Nov 2019 , R , 5 wins & 19 nominations. , Tom Glynn-Carney  G�bor Czap  Tom Fisher  Edward Ashley , https://m.media-amazon.com/images/M/MV5BMWZkNzNlMzMtMjM5ZS00MWYzLWFmMmUtMjE1ODM3NjBlODA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Ad Astra , movie , China  USA , James Gray , English  Japanese  Russian  Norwegian , Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now  30 years later  threatens the universe. , 80 , Adventure  Drama  Mystery  Sci-Fi  Thriller , 6.6 , 20 Sep 2019 , PG-13 , Nominated for 1 Oscar. Another 7 wins & 48 nominations. , Brad Pitt  Tommy Lee Jones  Ruth Negga  Donald Sutherland , https://m.media-amazon.com/images/M/MV5BZTllZTdlOGEtZTBmMi00MGQ5LWFjN2MtOGEyZTliNGY1MzFiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
Sweetbitter , series , USA , N/A , English , A young woman learns how crazy it is to work in a restaurant. , N/A , Drama , 7.0 , N/A , TV-MA , 1 nomination. , Ella Purnell  Tom Sturridge  Evan Jonigkeit  Eden Epstein , https://m.media-amazon.com/images/M/MV5BMGYxN2U5ZGQtNzAzNS00OWFjLWJjZjAtN2Y1MDliYzQ1ZWQwXkEyXkFqcGdeQXVyMTAyOTk1NDU5._V1_SX300.jpg
The OA , series , USA , N/A , English , Having gone missing seven years ago  the previously blind Prairie returns home  now in her twenties with her sight restored. While many believe she is a miracle  others worry that she could be dangerous. , N/A , Drama  Fantasy  Mystery  Sci-Fi , 7.9 , 16 Dec 2016 , TV-MA , 1 win & 8 nominations. , Brit Marling  Emory Cohen  Patrick Gibson  Jason Isaacs , https://m.media-amazon.com/images/M/MV5BMTY5OTkwNDkzOF5BMl5BanBnXkFtZTgwMDEyNzI1NzM@._V1_SX300.jpg
The Last Black Man in San Francisco , movie , USA , Joe Talbot , English , A young man searches for home in the changing city that seems to have left him behind. , 83 , Drama , 7.4 , 07 Jun 2019 , R , 10 wins & 37 nominations. , Jimmie Fails  Jonathan Majors  Rob Morgan  Tichina Arnold , https://m.media-amazon.com/images/M/MV5BNTQ5OTUwYjQtYmM5Ni00YTY5LWFiOWEtYTg1MTg2Y2NmY2JhXkEyXkFqcGdeQXVyMTAzNjk5MDI4._V1_SX300.jpg
Vice , movie , USA , Adam McKay , English  Arabic , The story of Dick Cheney  an unassuming bureaucratic Washington insider  who quietly wielded immense power as Vice President to George W. Bush  reshaping the country and the globe in ways that we still feel today. , 61 , Biography  Comedy  Drama , 7.2 , 25 Dec 2018 , R , Won 1 Oscar. Another 32 wins & 129 nominations. , Christian Bale  Amy Adams  Steve Carell  Sam Rockwell , https://m.media-amazon.com/images/M/MV5BMTY1NjM0MzgxMV5BMl5BanBnXkFtZTgwNDc4NTY0NjM@._V1_SX300.jpg
If Beale Street Could Talk , movie , USA , Barry Jenkins , English  Spanish , A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit. , 87 , Drama  Romance , 7.1 , 25 Dec 2018 , R , Won 1 Oscar. Another 103 wins & 176 nominations. , KiKi Layne  Stephan James  Regina King  Teyonah Parris , https://m.media-amazon.com/images/M/MV5BZWVkMzY5NzgtMTdlNS00NjY5LThjOTktZWFkNDU3NmQzMDIwXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg
