Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Untitled De Niro - Ramirez - Jakubowicz Project , movie , USA , Jonathan Jakubowicz , N/A , N/A , N/A , Action , N/A , N/A , N/A , N/A , Robert De Niro  Edgar Ram�rez , N/A
After Exile , movie , USA , N/A , N/A , After serving a six year sentence for involuntary murder  a man tries to come to terms with what he has done. , N/A , Crime  Drama , N/A , N/A , N/A , N/A , N/A , N/A
Killers of the Flower Moon , movie , USA , Martin Scorsese , Sioux  English , Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover. , N/A , Crime  Drama  History  Mystery  Thriller , N/A , N/A , N/A , N/A , Leonardo DiCaprio  Robert De Niro , N/A
The Comeback Trail , movie , USA , George Gallo , N/A , Two movie producers who owe money to the mob set up their aging movie star for an insurance scam to try and save themselves. But they wind up getting more than they ever imagined. , N/A , Action , N/A , N/A , N/A , N/A , Robert De Niro  Morgan Freeman  Emile Hirsch  Tommy Lee Jones , N/A
The War with Grandpa , movie , USA , Tim Hill , English , Upset that he has to share the room he loves with his grandfather  Peter decides to declare war in an attempt to get it back. , N/A , Comedy  Family , 6.9 , 27 Dec 2018 , PG , N/A , Robert De Niro  Uma Thurman  Jane Seymour  Christopher Walken , https://m.media-amazon.com/images/M/MV5BZjU0MDRmMjAtZGU2Ny00ODkxLThiMDUtMmI1MDJhNDc5YTZkXkEyXkFqcGdeQXVyMzgxOTMzOTA@._V1_SX300.jpg
The Irishman , movie , USA , Martin Scorsese , German  English  Italian  Latin  Spanish , A mob hitman recalls his friend Jimmy Hoffa. , 94 , Biography  Crime  Drama , 8.0 , 27 Nov 2019 , R , Nominated for 10 Oscars. Another 53 wins & 289 nominations. , Robert De Niro  Al Pacino  Joe Pesci  Harvey Keitel , https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg
Joker , movie , USA  Canada , Todd Phillips , English , In Gotham City  mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker. , 59 , Crime  Drama  Thriller , 8.6 , 04 Oct 2019 , R , Won 2 Oscars. Another 57 wins & 163 nominations. , Joaquin Phoenix  Robert De Niro  Zazie Beetz  Frances Conroy , https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
Saturday Night Live , series , USA , N/A , English , A famous guest host stars in parodies and sketches created by the cast of this witty show. , N/A , Comedy  Music , 8.1 , 11 Oct 1975 , TV-14 , Won 71 Primetime Emmys. Another 90 wins & 429 nominations. , Don Pardo  Lenny Pickett  Darrell Hammond  Kenan Thompson , https://m.media-amazon.com/images/M/MV5BY2YxODFmOGUtMjY1OC00YTk5LTlkNWEtMzU5MWYxNTgwNzkxXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_SX300.jpg
The Wizard of Lies , movie , USA , Barry Levinson , English , The fall of Bernie Madoff  whose Ponzi scheme robbed $65 billion from unsuspecting victims; the largest fraud in U.S. history. , N/A , Biography  Crime  Drama , 6.8 , 20 May 2017 , TV-MA , Nominated for 2 Golden Globes. Another 4 wins & 18 nominations. , Robert De Niro  Diana Henriques  Nathan Darrow  Alessandro Nivola , https://m.media-amazon.com/images/M/MV5BMTc2NDM5MDI2NV5BMl5BanBnXkFtZTgwOTc5NzQzMjI@._V1_SX300.jpg
The Comedian , movie , USA , Taylor Hackford , English , A look at the life of an aging insult comic named Jack Burke. , 40 , Comedy  Drama , 5.7 , 03 Feb 2017 , R , 1 win. , Robert De Niro  Leslie Mann  Harvey Keitel  Edie Falco , https://m.media-amazon.com/images/M/MV5BMTgyOTMzODE3Ml5BMl5BanBnXkFtZTgwMTk3NTM3MDI@._V1_SX300.jpg
