Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
The Black Hand , movie , USA , N/A , English , Police officer  Joe Petrosino  seeks justice against a ruthless Italian-American gang in New York. A feature adaptation of Stephan Talty's book 'The Black Hand'. , N/A , Drama , N/A , N/A , N/A , N/A , Leonardo DiCaprio , https://m.media-amazon.com/images/M/MV5BZTYyZDgyM2MtYTE4Ni00ODcwLTkwMWYtMTJjMzIwYzk4NTA4XkEyXkFqcGdeQXVyNTU4NjE1MTc@._V1_SX300.jpg
Killers of the Flower Moon , movie , USA , Martin Scorsese , Sioux  English , Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover. , N/A , Crime  Drama  History  Mystery  Thriller , N/A , N/A , N/A , N/A , Leonardo DiCaprio  Robert De Niro , N/A
Once Upon a Time... in Hollywood , movie , USA  UK  China , Quentin Tarantino , English  German  Italian  Spanish , A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles. , 83 , Comedy  Drama , 7.7 , 26 Jul 2019 , R , Nominated for 10 Oscars. Another 108 wins & 298 nominations. , Leonardo DiCaprio  Brad Pitt  Margot Robbie  Emile Hirsch , https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg
The Revenant , movie , USA  Hong Kong  Taiwan , Alejandro G. I��rritu , English  Pawnee  French , A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team. , 76 , Action  Adventure  Biography  Drama  History  Western , 8.0 , 08 Jan 2016 , R , Won 3 Oscars. Another 88 wins & 185 nominations. , Leonardo DiCaprio  Tom Hardy  Domhnall Gleeson  Will Poulter , https://m.media-amazon.com/images/M/MV5BMDE5OWMzM2QtOTU2ZS00NzAyLWI2MDEtOTRlYjIxZGM0OWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
The Audition , movie , USA  Macao  UK , Martin Scorsese , English , Robert De Niro and Leonardo DiCaprio must compete for the lead role in Martin Scorsese's next film. , N/A , Short  Comedy , 6.8 , 27 Oct 2015 , Not Rated , N/A , Robert De Niro  Leonardo DiCaprio  Brad Pitt  Martin Scorsese , https://m.media-amazon.com/images/M/MV5BMjZlOTAzNTYtMTA5YS00NjU0LThiZTEtYTBjYmZkMGE1NDRlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg
The Wolf of Wall Street , movie , USA , Martin Scorsese , English  French , Based on the true story of Jordan Belfort  from his rise to a wealthy stock-broker living the high life to his fall involving crime  corruption and the federal government. , 75 , Biography  Crime  Drama , 8.2 , 25 Dec 2013 , R , Nominated for 5 Oscars. Another 38 wins & 170 nominations. , Leonardo DiCaprio  Jonah Hill  Margot Robbie  Matthew McConaughey , https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg
The Great Gatsby , movie , Australia  USA , Baz Luhrmann , English , A writer and wall street trader  Nick  finds himself drawn to the past and lifestyle of his millionaire neighbor  Jay Gatsby. , 55 , Drama  Romance , 7.2 , 10 May 2013 , PG-13 , Won 2 Oscars. Another 48 wins & 84 nominations. , Lisa Adam  Frank Aldridge  Amitabh Bachchan  Steve Bisley , https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg
Django Unchained , movie , USA , Quentin Tarantino , English  German  French  Italian , With the help of a German bounty hunter  a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. , 81 , Drama  Western , 8.4 , 25 Dec 2012 , R , Won 2 Oscars. Another 57 wins & 153 nominations. , Jamie Foxx  Christoph Waltz  Leonardo DiCaprio  Kerry Washington , https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg
J. Edgar , movie , USA , Clint Eastwood , English , J. Edgar Hoover  powerful head of the F.B.I. for nearly fifty years  looks back on his professional and personal life. , 59 , Biography  Drama  Romance , 6.5 , 11 Nov 2011 , R , Nominated for 1 Golden Globe. Another 5 wins & 16 nominations. , Leonardo DiCaprio  Josh Hamilton  Geoff Pierson  Cheryl Lawson , https://m.media-amazon.com/images/M/MV5BMTc0NDM4ODU2Nl5BMl5BanBnXkFtZTcwNzQ0NTg4Ng@@._V1_SX300.jpg
Inception: The Cobol Job , movie , USA , Ian Kirby , English , This Inception prequel unfolds courtesy of a beautiful Motion Comic  and explains how Cobb  Arthur and Nash were enlisted by Cobol Engineering. Diehard fans of the film will be especially interested in this one. , N/A , Animation  Short  Sci-Fi , 7.8 , 07 Dec 2010 , N/A , N/A , Leonardo DiCaprio  Joseph Gordon-Levitt  Lukas Haas , https://m.media-amazon.com/images/M/MV5BMjE0NGIwM2EtZjQxZi00ZTE5LWExN2MtNDBlMjY1ZmZkYjU3XkEyXkFqcGdeQXVyNjMwNzk3Mjk@._V1_SX300.jpg
Inception , movie , USA  UK , Christopher Nolan , English  Japanese  French , A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. , 74 , Action  Adventure  Sci-Fi  Thriller , 8.8 , 16 Jul 2010 , PG-13 , Won 4 Oscars. Another 152 wins & 210 nominations. , Leonardo DiCaprio  Joseph Gordon-Levitt  Ellen Page  Tom Hardy , https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg
Shutter Island , movie , USA , Martin Scorsese , English  German , In 1954  a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane. , 63 , Mystery  Thriller , 8.1 , 19 Feb 2010 , R , 11 wins & 65 nominations. , Leonardo DiCaprio  Mark Ruffalo  Ben Kingsley  Max von Sydow , https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Revolutionary Road , movie , USA  UK , Sam Mendes , English , A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. , 69 , Drama  Romance , 7.3 , 23 Jan 2009 , R , Nominated for 3 Oscars. Another 20 wins & 69 nominations. , Kate Winslet  Leonardo DiCaprio  Christopher Fitzgerald  Jonathan Roumie , https://m.media-amazon.com/images/M/MV5BMTczNDgzMjczOV5BMl5BanBnXkFtZTcwOTU3MzMwMg@@._V1_SX300.jpg
Body of Lies , movie , USA  UK , Ridley Scott , English  Arabic , A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence. , 57 , Action  Drama  Thriller , 7.1 , 10 Oct 2008 , R , 2 nominations. , Leonardo DiCaprio  Russell Crowe  Mark Strong  Golshifteh Farahani , https://m.media-amazon.com/images/M/MV5BMTgzOTY3MTM0OV5BMl5BanBnXkFtZTcwNjc5MTI5MQ@@._V1_SX300.jpg
Blood Diamond , movie , USA  Germany , Edward Zwick , English  Mende  Afrikaans , A fisherman  a smuggler  and a syndicate of businessmen match wits over the possession of a priceless diamond. , 64 , Adventure  Drama  Thriller , 8.0 , 08 Dec 2006 , R , Nominated for 5 Oscars. Another 8 wins & 27 nominations. , Leonardo DiCaprio  Djimon Hounsou  Jennifer Connelly  Kagiso Kuypers , https://m.media-amazon.com/images/M/MV5BZDMxOGZhNWYtMzRlYy00Mzk5LWJjMjEtNmQ4NDU4M2QxM2UzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
The Departed , movie , USA , Martin Scorsese , English  Cantonese , An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston. , 85 , Crime  Drama  Thriller , 8.5 , 06 Oct 2006 , R , Won 4 Oscars. Another 94 wins & 139 nominations. , Leonardo DiCaprio  Matt Damon  Jack Nicholson  Mark Wahlberg , https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg
The Aviator , movie , Germany  USA , Martin Scorsese , English , A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s. , 77 , Biography  Drama , 7.5 , 25 Dec 2004 , PG-13 , Won 5 Oscars. Another 81 wins & 130 nominations. , Leonardo DiCaprio  Cate Blanchett  Kate Beckinsale  John C. Reilly , https://m.media-amazon.com/images/M/MV5BZTYzMjA2M2EtYmY1OC00ZWMxLThlY2YtZGI3MTQzOWM4YjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Catch Me If You Can , movie , USA  Canada , Steven Spielberg , English  French , A seasoned FBI agent pursues Frank Abagnale Jr. who  before his 19th birthday  successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot  a doctor  and a legal prosecutor. , 75 , Biography  Crime  Drama , 8.1 , 25 Dec 2002 , PG-13 , Nominated for 2 Oscars. Another 16 wins & 44 nominations. , Leonardo DiCaprio  Tom Hanks  Christopher Walken  Martin Sheen , https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg
