Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Sherlock Holmes 3 , movie , USA , Dexter Fletcher , English , The plot is unknown at this time. , N/A , Action  Crime  Mystery  Thriller , N/A , 22 Dec 2021 , N/A , N/A , Robert Downey Jr.  Rachel McAdams  Jude Law , N/A
All-Star Weekend , movie , USA , Jamie Foxx , N/A , Two buddies form a rivalry over their favorite American basketball player. , N/A , Comedy , N/A , 22 Feb 2019 , N/A , N/A , Nina Dobrev  Robert Downey Jr.  Jamie Foxx  Jessica Szohr , N/A
Black Widow , movie , USA , Cate Shortland , English , A film about Natasha Romanoff in her quests between the films Civil War and Infinity War. , N/A , Action  Adventure  Sci-Fi , N/A , 01 May 2020 , Unrated , N/A , Florence Pugh  Scarlett Johansson  Robert Downey Jr.  Rachel Weisz , https://m.media-amazon.com/images/M/MV5BNmFjNTA4MDAtMDM3ZS00NjFmLTg3YzQtM2ZkMzI0OTNmODcyXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg
Dolittle , movie , USA , Stephen Gaghan , English , A physician discovers that he can talk to animals. , 27 , Action  Adventure  Comedy  Family  Fantasy , 5.6 , 17 Jan 2020 , PG , N/A , Robert Downey Jr.  Antonio Banderas  Michael Sheen  Jim Broadbent , https://m.media-amazon.com/images/M/MV5BMDNkODA5ZGQtODczOS00OTQxLThhMTItMjk0ZmNhMDM0YjNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
Dolittle - Auditions , movie , USA , N/A , English , Watch Robert Downey Jr audition the most talented animals in the business for Dolittle. , N/A , Short  Comedy , 8.0 , 10 Dec 2019 , N/A , N/A , John Cena  Robert Downey Jr.  Ralph Fiennes  Rami Malek , https://m.media-amazon.com/images/M/MV5BYzY0NmU5MGEtZmM5MC00NGI1LTg0M2UtOGMyMDYyMmJmYjg2XkEyXkFqcGdeQXVyMjExMDE1MzQ@._V1_SX300.jpg
Avengers: Endgame , movie , USA , Anthony Russo  Joe Russo , English  Japanese  Xhosa  German , After the devastating events of Avengers: Infinity War (2018)  the universe is in ruins. With the help of remaining allies  the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. , 78 , Action  Adventure  Drama  Sci-Fi , 8.5 , 26 Apr 2019 , PG-13 , Nominated for 1 Oscar. Another 46 wins & 97 nominations. , Robert Downey Jr.  Chris Evans  Mark Ruffalo  Chris Hemsworth , https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg
Avengers: Infinity War , movie , USA , Anthony Russo  Joe Russo , English , The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. , 68 , Action  Adventure  Sci-Fi , 8.5 , 27 Apr 2018 , PG-13 , Nominated for 1 Oscar. Another 44 wins & 70 nominations. , Robert Downey Jr.  Chris Hemsworth  Mark Ruffalo  Chris Evans , https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg
Spider-Man: Homecoming , movie , USA , Jon Watts , English  Spanish , Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man  and finds himself on the trail of a new menace prowling the skies of New York City. , 73 , Action  Adventure  Sci-Fi , 7.4 , 07 Jul 2017 , PG-13 , 7 wins & 9 nominations. , Tom Holland  Michael Keaton  Robert Downey Jr.  Marisa Tomei , https://m.media-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_SX300.jpg
Spider-Man: Homecoming  NBA Finals: Watch the Game , movie , USA , N/A , English , Peter Parker is invited to Tony Stark's NBA Finals party at the Avengers tower. , N/A , Short  Sci-Fi , 7.4 , 10 Jun 2017 , N/A , N/A , Tom Holland  Jon Favreau  Robert Downey Jr.  DJ Khaled , https://m.media-amazon.com/images/M/MV5BM2M0OWM4YzUtYzc2ZS00Mjg1LTg1NzktYzI4MmNlYjE2ZWEwXkEyXkFqcGdeQXVyMjExMDE1MzQ@._V1_SX300.jpg
Captain America: Civil War , movie , USA , Anthony Russo  Joe Russo , English  German  Xhosa  Russian  Romanian  Hindi , Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man. , 75 , Action  Adventure  Sci-Fi , 7.8 , 06 May 2016 , PG-13 , 16 wins & 68 nominations. , Chris Evans  Robert Downey Jr.  Scarlett Johansson  Sebastian Stan , https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg
Avengers: Age of Ultron , movie , USA , Joss Whedon , English  Korean , When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron  things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan. , 66 , Action  Adventure  Sci-Fi , 7.3 , 01 May 2015 , PG-13 , 8 wins & 47 nominations. , Robert Downey Jr.  Chris Hemsworth  Mark Ruffalo  Chris Evans , https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg
The Judge , movie , USA , David Dobkin , English , Big-city lawyer Hank Palmer returns to his childhood home where his father  the town's judge  is suspected of murder. Hank sets out to discover the truth and  along the way  reconnects with his estranged family. , 48 , Crime  Drama , 7.4 , 10 Oct 2014 , R , Nominated for 1 Oscar. Another 3 wins & 8 nominations. , Robert Downey Jr.  Robert Duvall  Vera Farmiga  Billy Bob Thornton , https://m.media-amazon.com/images/M/MV5BMTcyNzIxOTIwMV5BMl5BanBnXkFtZTgwMzE0NjQwMjE@._V1_SX300.jpg
