Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Beautiful: The Carole King Musical , movie , USA , N/A , English , Chronicles the life and career of celebrated singer-songwriter  Carole King. , N/A , Musical , N/A , N/A , N/A , N/A , N/A , N/A
No Better Place to Die , movie , USA , Dale Dye , English , During the first 3 days of the Normandy invasion  the 82nd Airborne Division struggled to capture and hold crucial crossing points over the Merderet River. As the hours and days passed  the... , N/A , War , N/A , 06 Jun 2019 , N/A , N/A , Gary Sinise , https://m.media-amazon.com/images/M/MV5BMmI3YmMyZWYtZjU5Ni00NzUwLTlmMWMtOTVlOGZiNzA0MDEyXkEyXkFqcGdeQXVyMTMxMzgxNw@@._V1_SX300.jpg
News of the World , movie , USA , Paul Greengrass , English , A Texan traveling across the wild West bringing the news of the world to local townspeople  agrees to help rescue a young girl who was kidnapped. , N/A , Drama  Western , N/A , 25 Dec 2020 , N/A , N/A , Tom Hanks  Neil Sandilands  Helena Zengel  Thomas Francis Murphy , N/A
Greyhound , movie , USA , Aaron Schneider , English , During World War II  a US Navy skipper must lead an Allied convoy being stalked by Nazi U-boat wolf packs. , N/A , Drama  War , N/A , 08 May 2020 , N/A , N/A , Tom Hanks  Elisabeth Shue  Stephen Graham  Manuel Garcia-Rulfo , N/A
The Movies , series , USA , N/A , English , A look at the history of movies and their impact on our culture. , N/A , Documentary , 7.9 , 07 Jul 2019 , Not Rated , N/A , Paul Thomas Anderson  Brad Bird  Alonso Duralde  Neal Gabler , https://m.media-amazon.com/images/M/MV5BNzU4NWEwNDItMzMzYy00ZDYyLWIxZjMtMDlkYWVjNjQwYzBjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
The 2000s , series , USA , N/A , English , A TV documentary miniseries chronicling the trends  pop culture  and important events that took place from 2000 to 2009. , N/A , Documentary , 8.0 , 08 Jul 2018 , N/A , N/A , Renee Graham  Julian Zelizer  Todd Boyd  Pat Buchanan , https://m.media-amazon.com/images/M/MV5BMDlkMzQxYTktYThlYy00OTI0LTg4M2QtMjgyYWQ4NmI4NDA1XkEyXkFqcGdeQXVyODQ1NTk5OQ@@._V1_SX300.jpg
Mamma Mia! Here We Go Again , movie , UK  USA  Japan , Ol Parker , English  French  Greek , Five years after the events of Mamma Mia! (2008)  Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past. , 60 , Comedy  Musical  Romance , 6.7 , 20 Jul 2018 , PG-13 , 12 nominations. , Amanda Seyfried  Andy Garcia  Celia Imrie  Lily James , https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_SX300.jpg
1968: The Year That Changed America , series , N/A , N/A , English , A four-part series that looks back at 1968  a year marked by seismic shifts in American politics  social movements  and global relations  including cultural icons who forever changed the landscape. , N/A , Documentary , 7.9 , 27 May 2018 , N/A , N/A , Renee Graham  Mark Kurlansky  Evan Thomas  Mark Bowden , https://m.media-amazon.com/images/M/MV5BOWQzZjZhMGMtNzVhZi00NWIwLTk1YzctNmE4NTgwMzliMDVmXkEyXkFqcGdeQXVyMzczNjkzNQ@@._V1_SX300.jpg
Mark Felt: The Man Who Brought Down The White House , movie , USA , Peter Landesman , English , The story of Mark Felt  who under the name "Deep Throat" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972. , 49 , Biography  Drama  History  Thriller , 6.4 , 29 Sep 2017 , PG-13 , 1 nomination. , Liam Neeson  Diane Lane  Marton Csokas  Tony Goldwyn , https://m.media-amazon.com/images/M/MV5BMjQzMDEwMjMyNF5BMl5BanBnXkFtZTgwNjA1NTA1MzI@._V1_SX300.jpg
The Nineties , series , USA , N/A , English , A TV documentary miniseries chronicling the trends  pop culture  and important events that took place from 1990 to 1999. , N/A , Documentary , 8.2 , N/A , N/A , 2 nominations. , Dan Rather  Gil Troy  Nelson George  Renee Graham , https://m.media-amazon.com/images/M/MV5BZDlhY2JkYzQtMTcwMy00YjljLTk4MmQtYzg5NzUyZGYyYjgzXkEyXkFqcGdeQXVyODQ1NTk5OQ@@._V1_SX300.jpg
The 2017 Rock and Roll Hall of Fame Induction Ceremony , movie , USA , Alex Coletti , English , N/A , N/A , Music , N/A , N/A , N/A , N/A , Jon Anderson  Joan Baez  Jackson Browne  Bill Bruford , https://m.media-amazon.com/images/M/MV5BMDI4YWNmYTYtMGNlNy00M2M0LWIzZGEtMGExNmQ3MGJkNjI5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
The Eighties , series , USA , N/A , English , A documentary series focusing on the Reagan presidency  the AIDS crisis  the end of the Cold War  Wall Street corruption  the tech boom  the expansion of television  and the evolving music industry. , N/A , Documentary  History , 8.3 , 31 Mar 2016 , N/A , 1 nomination. , H.W. Brands  Chris Connelly  Gil Troy  James Baker III , https://m.media-amazon.com/images/M/MV5BNTI5MTQ3NTc0MF5BMl5BanBnXkFtZTgwMjE2NDI0ODE@._V1_SX300.jpg
My Big Fat Greek Wedding 2 , movie , USA  Canada , Kirk Jones , English  Greek , A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding. , 37 , Comedy  Romance , 6.0 , 25 Mar 2016 , PG-13 , 3 nominations. , Nia Vardalos  John Corbett  Michael Constantine  Lainie Kazan , https://m.media-amazon.com/images/M/MV5BNTA1MjMzNDM2M15BMl5BanBnXkFtZTgwNTg3NzQ1NzE@._V1_SX300.jpg
Ithaca , movie , USA , Meg Ryan , English , With his older brother off to war  fourteen-year-old telegram messenger Homer Macauley comes of age in the summer of 1942. , 36 , Drama  War , 5.5 , 09 Sep 2016 , PG , 2 nominations. , Alex Neustaedter  Meg Ryan  Sam Shepard  Hamish Linklater , https://m.media-amazon.com/images/M/MV5BMTczNTM1NzU1NV5BMl5BanBnXkFtZTgwODAxNTU1OTE@._V1_SX300.jpg
The Seventies , series , USA , N/A , English , A documentary series focusing on the ongoing Vietnam War  the Watergate scandal  evolving music industry  the Iran Hostage Crisis  the sexual revolution  and the rise of foreign and domestic terrorism. , N/A , Documentary  History , 8.3 , 11 Jun 2015 , N/A , Nominated for 1 Primetime Emmy. Another 1 nomination. , Douglas Brinkley  Chris Connelly  Tim Naftali  Rick Perlstein , https://m.media-amazon.com/images/M/MV5BMTYwNzI0NTA4NV5BMl5BanBnXkFtZTgwMzI5MzM5NTE@._V1_SX300.jpg
The Concert for Valor , movie , USA , Joel Gallen , English , A live HBO concert honoring United States veterans in Washington DC. , N/A , Music , 5.8 , 11 Nov 2014 , Not Rated , N/A , The Black Keys  Jack Black  Bryan Cranston  Eminem , https://m.media-amazon.com/images/M/MV5BZTFjMDVhM2UtNWVjZS00ZmVlLWJjZTItYzQwNWYwZjM5NTkzXkEyXkFqcGdeQXVyMTQ5NzI1MTI@._V1_SX300.jpg
Olive Kitteridge , series , USA , N/A , English , A middle-school math teacher Olive and her marriage with Henry which spans 25 years. , N/A , Drama , 8.4 , 02 Nov 2014 , TV-14 , Nominated for 3 Golden Globes. Another 29 wins & 31 nominations. , Frances McDormand  Richard Jenkins  Ken Cheeseman  Ann Dowd , https://m.media-amazon.com/images/M/MV5BMjIzOTk4NzMzMV5BMl5BanBnXkFtZTgwMTczMzY4MjE@._V1_SX300.jpg
The Sixties , series , USA , N/A , English , Interviews and archival footage focusing on the politics  music  technical advancements  drugs and the "free love" movement of the 1960s. , N/A , Documentary  History , 8.5 , 22 Nov 2013 , N/A , Nominated for 3 Primetime Emmys. Another 2 nominations. , John Heilemann  Robert Dallek  Tim Naftali  Dan Rather , https://m.media-amazon.com/images/M/MV5BMTUxMDY2MjE4NV5BMl5BanBnXkFtZTgwOTg3NjcxMjE@._V1_SX300.jpg
The Assassination of President Kennedy , movie , USA , N/A , English , N/A , N/A , Documentary , 5.8 , 14 Nov 2013 , N/A , 1 win & 1 nomination. , Dan Rather , N/A
Parkland , movie , USA , Peter Landesman , English , A recounting of the chaotic events that occurred at Dallas' Parkland Hospital on the day U.S. President John F. Kennedy was assassinated. , 51 , Drama  History  Mystery  Thriller , 6.3 , 02 Oct 2013 , PG-13 , 3 nominations. , Marcia Gay Harden  Matt Barr  Zac Efron  Mallory Moye , https://m.media-amazon.com/images/M/MV5BMjE2NjkwNDE2MF5BMl5BanBnXkFtZTgwNDY5ODIxMDE@._V1_SX300.jpg
